15N,1H,i
100.675,6.03914,0.00033652
100.675,6.0587,0.000380971
100.675,6.07827,7.26096e-05
100.675,6.09784,0.000485536
100.675,6.11741,0.00104674
100.675,6.15654,0.000156138
100.675,6.17611,0.000646241
100.675,6.19568,0.00165278
100.675,6.21525,0.00055714
100.675,6.27395,0.000287663
100.675,6.29352,0.000115283
100.675,6.33266,0.000306129
100.675,6.39136,0.000412479
100.675,6.41093,0.000486333
100.675,6.4305,0.000411902
100.675,6.46963,6.20224e-05
100.675,6.50877,0.000301447
100.675,6.58704,0.000689894
100.675,6.60661,0.000589665
100.675,6.62618,0.000535458
100.675,6.64575,0.000780053
100.675,6.70445,0.000220831
100.675,6.74359,0.000311192
100.675,6.76316,0.00100576
100.675,6.80229,0.000753209
100.675,6.95884,0.00113423
100.675,6.9784,0.000234656
100.675,6.99797,0.000235256
100.675,7.01754,0.000604007
100.675,7.21322,3.0525e-05
100.675,7.25236,0.000253949
100.675,7.33063,1.73822e-05
100.675,7.4089,0.000320423
100.675,7.42847,0.000295434
100.675,7.46761,0.000694308
100.675,7.50674,5.69485e-05
100.675,7.54588,0.000749834
100.675,7.56545,0.00115915
100.675,7.58502,0.000430778
100.675,7.68286,0.000615511
100.675,7.70242,0.000130333
100.675,7.74156,0.000549179
100.675,7.76113,0.000456125
100.675,7.7807,4.72739e-06
100.675,7.81983,0.00130767
100.675,7.8394,0.000842851
100.675,7.87854,0.000491336
100.675,7.91767,0.000711866
100.675,7.95681,0.000219736
100.675,7.99595,7.78623e-05
100.675,8.11335,0.000657238
100.675,8.15249,0.000116769
100.675,8.17206,0.000142787
100.675,8.19163,0.000209708
100.675,8.23076,0.00039788
100.675,8.25033,0.000617638
100.675,8.2699,0.000413001
100.675,8.28947,0.000606235
100.675,8.30903,0.000354618
100.675,8.3286,4.85107e-05
100.675,8.34817,0.000708811
100.675,8.36774,0.00108852
100.675,8.38731,0.000430238
100.675,8.40688,8.52309e-05
100.675,8.48515,0.000433814
100.675,8.56342,0.000102889
100.675,8.60256,0.000199839
100.675,8.66126,0.000558268
100.675,8.68083,1.47261e-05
100.675,8.71996,0.000499208
100.675,8.77867,0.00161339
100.675,8.79824,0.000466209
100.675,8.81781,0.000791639
100.675,8.89608,0.000309475
100.675,8.95478,0.00031393
100.675,8.97435,0.000589825
100.675,8.99392,0.000530165
100.675,9.01349,0.000756845
100.675,9.03305,0.000326414
100.675,9.13089,0.000308398
100.675,9.15046,0.000109341
100.675,9.22874,0.000214081
100.675,9.28744,0.000314631
100.675,9.30701,0.000445295
100.675,9.32658,0.000223149
100.675,9.34614,0.000629093
100.675,9.36571,0.000303842
100.675,9.38528,2.97241e-05
100.675,9.42442,0.000374869
100.675,9.44398,0.00036009
100.675,9.50269,0.000892665
100.675,9.52226,0.000515886
100.675,9.54182,0.000735115
100.675,9.58096,0.00038917
100.675,9.6201,0.000770748
100.675,9.63966,0.000618149
100.675,9.65923,0.000438415
100.675,9.69837,2.25008e-06
100.675,9.75707,0.000411563
100.675,9.77664,0.000429008
100.675,9.79621,0.000446454
100.675,9.85491,0.000624869
100.675,9.91362,2.99066e-05
100.675,9.95275,0.000736874
100.675,9.97232,0.00104757
100.675,10.0115,0.000528716
100.675,10.031,0.000619546
100.675,10.0506,0.00027639
100.675,10.0702,0.000679769
100.675,10.0897,0.00103457
100.675,10.1289,0.000189904
100.675,10.1484,0.000197165
100.675,10.168,0.000955112
100.675,10.1876,0.000854038
100.675,10.2854,2.93851e-05
100.675,10.305,0.000354297
100.675,10.3441,9.58778e-05
100.675,10.3637,0.00137984
100.675,10.4224,0.00070779
100.675,10.5007,0.00128647
100.675,10.5594,5.78687e-05
100.675,10.5789,0.000366323
100.675,10.6572,0.000371035
100.675,10.7159,0.000104047
100.675,10.7355,5.55329e-05
100.675,10.8138,0.000183284
100.675,10.8333,0.000716001
100.675,10.9116,0.000345249
100.675,10.9507,0.000613414
100.675,10.9703,0.000555273
100.743,6.0,2.39126e-05
100.743,6.03914,0.000312872
100.743,6.0587,0.000350613
100.743,6.09784,0.000352588
100.743,6.11741,0.000971321
100.743,6.15654,0.00032999
100.743,6.17611,0.000766084
100.743,6.19568,0.00157033
100.743,6.21525,0.000371143
