15N,1H,i
100.743,7.58502,0.000372011
100.743,7.68286,0.00105842
100.743,7.70242,0.00205556
100.743,7.72199,0.000262402
100.743,7.8981,0.000236839
100.743,7.91767,0.000194255
100.743,8.15249,0.000688389
100.743,8.19163,0.000128329
100.743,8.23076,0.00107279
100.743,8.28947,0.000364136
100.743,8.30903,0.000335813
100.743,8.34817,2.42256e-05
100.743,8.38731,0.000197396
100.743,8.42644,0.000443745
100.743,8.46558,0.000483189
100.743,8.54385,0.00034482
100.743,8.62212,0.00016987
100.743,8.7591,0.000443354
100.743,8.83737,0.000133824
100.743,8.85694,0.000843432
100.743,8.89608,0.000615694
100.743,8.91565,0.000364378
100.743,8.97435,0.000310965
100.743,8.99392,8.77306e-05
100.743,9.01349,0.000290137
100.743,9.05262,0.000359066
100.743,9.07219,5.95227e-05
100.743,9.15046,0.000337601
100.743,9.17003,0.000442453
100.743,9.2483,0.000454694
100.743,9.30701,1.27368e-05
100.743,9.34614,0.00022364
100.743,9.46355,5.55962e-05
100.743,9.50269,0.000214126
100.743,9.56139,5.22286e-06
100.743,9.58096,0.000488512
100.743,9.75707,2.3257e-05
100.743,9.85491,0.000277609
100.743,9.91362,6.69472e-05
100.743,10.031,0.000336181
100.743,10.0506,0.000376005
100.743,10.168,2.4423e-05
100.743,10.1876,0.000511777
100.743,10.2463,0.000349611
100.743,10.3245,0.000456169
100.743,10.442,0.000333872
100.743,10.4615,6.46599e-05
100.743,10.4811,0.000469379
100.743,10.5007,0.000259284
100.743,10.5202,5.63934e-05
100.743,10.6572,0.000141606
100.743,10.6768,0.00017412
100.743,10.6963,0.000443101
100.743,10.8333,0.000165068
100.743,10.8725,0.000359781
100.743,10.892,0.000347774
100.743,10.9507,0.000445422
100.743,10.9703,0.000665665
100.81,6.0587,0.000232995
100.81,6.07827,0.0014113
100.81,6.09784,0.0012362
100.81,6.11741,0.000446286
100.81,6.13698,0.000386328
100.81,6.25439,0.000411615
100.81,6.27395,0.000351053
100.81,6.35223,0.0010835
100.81,6.37179,9.03755e-05
100.81,6.4305,0.0006277
100.81,6.45007,0.000159699
100.81,6.4892,5.68666e-05
100.81,6.50877,0.000566877
100.81,6.52834,7.36192e-05
100.81,6.62618,0.000203863
100.81,6.66532,0.000975888
100.81,6.68488,0.000597082
