empirical_peak_idx,theoretical_peak_idx,flow,25C_15N,25C_1H,30C_15N,30C_1H
98,85,0.0002985625527799129,108.84100000000001,8.7004,108.908,8.73953
99,84,0.00032189609482884406,108.908,8.7004,108.908,8.71996
100,86,0.0002882310189306736,108.976,8.30903,108.976,8.34817
100,88,7.088994607329369e-05,108.976,8.30903,109.043,8.34817
101,87,0.0002998972311615944,109.043,8.30903,109.043,8.3286
101,88,0.00039224904030561443,109.043,8.30903,109.043,8.34817
102,89,0.00023456811904907224,109.11100000000002,8.28947,109.11100000000002,8.3286
103,89,0.0002199665643274784,109.11100000000002,8.30903,109.11100000000002,8.3286
103,90,0.0008645047433674335,109.11100000000002,8.30903,109.11100000000002,8.34817
104,91,0.00031887274235486984,109.178,8.28947,109.178,8.3286
105,90,8.98679718375206e-06,109.178,8.30903,109.11100000000002,8.34817
105,91,0.0002924574539065361,109.178,8.30903,109.178,8.3286
105,92,0.0011832757852971553,109.178,8.30903,109.178,8.34817
106,92,0.0002700984477996826,109.178,8.3286,109.178,8.34817
108,95,0.0003911015577614307,109.246,8.28947,109.246,8.3286
109,95,0.00035439440980553625,109.246,8.30903,109.246,8.3286
109,96,0.0014761908911168574,109.246,8.30903,109.246,8.34817
109,100,1.0815449059009552e-06,109.246,8.30903,109.313,8.34817
110,96,0.00034265695139765737,109.246,8.3286,109.246,8.34817
112,99,0.000439008604735136,109.313,8.28947,109.313,8.3286
113,99,5.755573511123657e-07,109.313,8.30903,109.313,8.3286
113,100,0.0020661357790231704,109.313,8.30903,109.313,8.34817
114,99,0.0003953198902308941,109.313,8.3286,109.313,8.3286
117,103,0.00045335227623581885,109.381,8.28947,109.381,8.3286
118,100,1.9856728613376617e-06,109.381,8.30903,109.313,8.34817
118,103,0.00040958309546113014,109.381,8.30903,109.381,8.3286
118,104,0.00173694659024477,109.381,8.30903,109.381,8.34817
119,104,0.0004197483882308006,109.381,8.3286,109.381,8.34817
123,107,0.0004324698820710182,109.448,8.28947,109.448,8.3286
124,104,3.6410987377166747e-06,109.448,8.30903,109.381,8.34817
124,108,0.002057515550404787,109.448,8.30903,109.448,8.34817
124,112,1.2723729014396668e-06,109.448,8.30903,109.516,8.34817
125,107,0.00039218142628669737,109.448,8.3286,109.448,8.3286
125,108,1.856926828622818e-05,109.448,8.3286,109.448,8.34817
129,111,0.00037935543805360793,109.516,8.28947,109.516,8.3286
130,112,0.0018085408955812454,109.516,8.30903,109.516,8.34817
130,117,1.7224252223968504e-05,109.516,8.30903,109.583,8.34817
131,111,0.0003483639098703861,109.516,8.3286,109.516,8.3286
131,112,2.3155845701694486e-05,109.516,8.3286,109.516,8.34817
135,116,0.0003037844784557819,109.583,8.28947,109.583,8.3286
136,116,0.00028519006446003914,109.583,8.30903,109.583,8.3286
136,117,0.0011491997167468071,109.583,8.30903,109.583,8.34817
136,122,4.7250464558601375e-05,109.583,8.30903,109.65,8.34817
137,117,0.00030925814062356946,109.583,8.3286,109.583,8.34817
141,121,0.00043235449120402334,109.65,8.30903,109.65,8.3286
141,122,0.0006561806425452232,109.65,8.30903,109.65,8.34817
142,122,0.00023408839479088783,109.65,8.3286,109.65,8.34817
146,126,0.0002808096818625927,109.718,8.30903,109.718,8.3286
146,127,0.0004265254363417625,109.718,8.30903,109.718,8.34817
150,127,5.06286509335041e-05,109.785,8.30903,109.718,8.34817
