15N,1H,i
100.878,6.66532,0.000585873
100.878,6.68488,0.000302143
100.878,6.74359,0.000225633
100.878,6.78272,0.000481214
100.878,6.861,5.91427e-05
100.878,6.88056,0.000248078
100.878,6.93927,0.00022497
100.878,6.99797,3.53456e-05
100.878,7.01754,8.57636e-05
100.878,7.11538,0.000453893
100.878,7.13495,0.000301734
100.878,7.17409,8.98205e-05
100.878,7.29149,0.000352219
100.878,7.33063,0.000158973
100.878,7.3502,0.000713572
100.878,7.36977,0.000643678
100.878,7.38933,0.000686631
100.878,7.4089,0.00017976
100.878,7.42847,0.00051672
100.878,7.44804,0.000392098
100.878,7.56545,0.000115167
100.878,7.64372,0.000837028
100.878,7.66329,0.00174487
100.878,7.68286,0.00137657
100.878,7.76113,8.66391e-05
100.878,7.80026,0.000245254
100.878,7.87854,0.000870701
100.878,7.8981,0.000799507
100.878,7.91767,0.000483945
100.878,7.93724,0.000198085
100.878,7.95681,0.00048241
100.878,7.99595,0.000158444
100.878,8.01551,0.000174854
100.878,8.03508,0.000272725
100.878,8.05465,0.000195801
100.878,8.13292,0.000994503
100.878,8.17206,0.000574339
100.878,8.30903,0.000301626
100.878,8.3286,0.00111875
100.878,8.34817,0.000551138
100.878,8.40688,0.000150632
100.878,8.42644,0.000580754
100.878,8.44601,0.000157289
100.878,8.46558,0.000195406
100.878,8.48515,0.000628177
100.878,8.54385,0.000266839
100.878,8.56342,0.000403591
100.878,8.64169,2.75485e-05
100.878,8.73953,3.5651e-06
100.878,8.77867,0.000655077
100.878,8.89608,0.000107612
100.878,8.93521,0.000369877
100.878,8.97435,0.000110742
100.878,8.99392,0.000398632
100.878,9.05262,0.000189889
100.878,9.22874,0.00013015
100.878,9.2483,0.000598811
100.878,9.38528,0.000125192
100.878,9.40485,0.000338431
100.878,9.42442,0.00026986
100.878,9.52226,0.000487234
100.878,9.56139,0.000111032
100.878,9.63966,1.40928e-05
100.878,9.73751,0.000666067
100.878,9.75707,0.000667408
100.878,9.85491,0.00030246
100.878,9.95275,0.000736799
100.878,10.031,0.000527378
100.878,10.1484,0.000141975
100.878,10.168,0.000503264
100.878,10.1876,0.000402968
100.878,10.3637,0.000864655
100.878,10.442,0.000562061
100.878,10.4615,0.000621296
100.878,10.4811,0.00122018
100.878,10.5007,0.000488613
100.878,10.5202,0.000731971
100.878,10.5594,0.000458438
100.878,10.5789,0.000104457
100.878,10.5985,0.000230089
100.878,10.6376,0.000301465
100.878,10.6963,8.22917e-05
100.878,10.7159,0.000828806
100.878,10.7355,0.000720043
100.878,10.8138,0.000415217
100.878,10.8333,0.000140995
100.878,10.892,0.000698827
100.878,10.9507,0.000124145
100.945,6.0,0.000437491
100.945,6.01957,0.000614192
100.945,6.03914,0.000546522
100.945,6.21525,0.000486121
100.945,6.23482,9.16235e-05
100.945,6.31309,0.00042434
100.945,6.35223,2.38493e-05
100.945,6.66532,0.000567205
100.945,6.68488,0.000307448
100.945,6.74359,0.000132721
100.945,6.78272,0.000631187
100.945,6.861,0.000266705
100.945,6.88056,0.000314631
100.945,6.90013,6.38887e-05
100.945,6.9197,7.15256e-07
100.945,6.93927,0.000317667
100.945,6.99797,5.84126e-05
100.945,7.01754,0.000153325
100.945,7.11538,0.000537202
100.945,7.13495,0.00021879
100.945,7.17409,0.000149641
100.945,7.29149,0.000257187
100.945,7.33063,0.000315946
100.945,7.3502,0.000717603
100.945,7.36977,0.000711981
100.945,7.38933,0.000679739
100.945,7.4089,0.000168942
100.945,7.42847,0.0002557
100.945,7.44804,0.000342458
